Smiles,IC50_uM,pIC50
N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4c(N)cccc34)c2F)c1,0.022,7.657577319
O=C(c1ccc(-c2ccccc2)cc1)c1cc(=O)n(O)c(=O)[nH]1,0.022,7.657577319
Cc1cc(/C=C/C#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1C(=O)NCCCO,0.0228,7.642065153
CC(C)(C)c1ccc(-n2nnnc2SCC(=O)Nc2ccc(-c3ccc(OCC(=O)O)cc3)cc2Cl)c(Cl)c1,0.023,7.638272164
Cc1cc(C#N)cc(C)c1Nc1ccnc(NC2CCN(c3cccc(C(N)=O)c3)CC2)n1,0.023,7.638272164
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)Nc3ccnc(C#N)c3)[nH]c3ccc(Cl)cc23)c1,0.023,7.638272164
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccccc3[N+](=O)[O-])[nH]c3ccc(Cl)cc23)c1,0.023,7.638272164
O=C(c1ccc(-c2ccc(Cl)c(F)c2)cc1)c1cc(=O)n(O)c(=O)[nH]1,0.023,7.638272164
Cc1[nH]nc(OCC(=O)Nc2ccc(C#CC(C)(C)CO)cc2Cl)c1-c1ccc(C(C)(C)C)cc1Cl,0.024,7.619788758
Cc1cc(C)c(Nc2nc(Nc3ccc(C#N)cc3)ncc2-c2ccccc2)c(C)c1,0.024,7.619788758
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccc(F)cc3)[nH]c3ccc(Cl)cc23)c1,0.024,7.619788758
N#Cc1ccc(-c2ccc(C(=O)c3cc(=O)n(O)c(=O)[nH]3)cc2)cc1,0.024,7.619788758
